Type d'acte;Année;Arrondissement;Nombres
Décès;2013;19ème arrdt;1160
Décès;2014;10ème arrdt;1348
Décès;2015;4ème arrdt;44
Décès;2018;11ème arrdt;280
Décès;2019;15ème arrdt;3505
Décès;2019;18ème arrdt;1500
Décès;2020;3ème arrdt;64
Décès;2021;8ème arrdt;78
Décès;2023;8ème arrdt;87
PACS;2017;13ème arrdt;123
PACS;2018;19ème arrdt;652
PACS;2019;7ème arrdt;147
PACS;2019;14ème arrdt;574
PACS;2023;2ème arrdt;99
Changements de prénom;2019;5ème arrdt;14
Changements de prénom;2019;13ème arrdt;74
Changements de prénom;2021;5ème arrdt;21
Changements de prénom;2023;7ème arrdt;15
Changements de nom (personne majeure);2022;4ème arrdt;36
Changements de nom (personne majeure);2022;12ème arrdt;165
Changements de nom (personne majeure);2022;17ème arrdt;110
Naissances;2005;16ème arrdt;1255
Naissances;2005;20ème arrdt;2281
Naissances;2012;10ème arrdt;2475
Naissances;2012;15ème arrdt;5379
Naissances;2013;14ème arrdt;10279
Naissances;2014;11ème arrdt;10
Naissances;2014;19ème arrdt;3050
Naissances;2015;15ème arrdt;5902
Naissances;2016;18ème arrdt;2222
Naissances;2017;15ème arrdt;6059
Naissances;2018;12ème arrdt;9384
Naissances;2018;16ème arrdt;1125
Naissances;2019;6ème arrdt;1
Naissances;2019;16ème arrdt;1161
Naissances;2021;5ème arrdt;3
Naissances;2021;6ème arrdt;4
Naissances;2021;19ème arrdt;3029
Naissances;2023;11ème arrdt;10
Reconnaissances;2004;2ème arrdt;147
Reconnaissances;2004;9ème arrdt;339
Reconnaissances;2004;16ème arrdt;522
Reconnaissances;2005;9ème arrdt;296
Reconnaissances;2006;20ème arrdt;1161
Reconnaissances;2008;2ème arrdt;89
Reconnaissances;2008;6ème arrdt;85
Reconnaissances;2010;20ème arrdt;1080
Reconnaissances;2012;11ème arrdt;752
Reconnaissances;2013;19ème arrdt;1050
Reconnaissances;2014;3ème arrdt;135
Reconnaissances;2014;10ème arrdt;482
Reconnaissances;2014;13ème arrdt;995
Reconnaissances;2016;1er arrdt;55
Reconnaissances;2016;10ème arrdt;502
Reconnaissances;2016;13ème arrdt;959
Reconnaissances;2018;9ème arrdt;237
Reconnaissances;2018;11ème arrdt;629
Reconnaissances;2019;5ème arrdt;123
Reconnaissances;2019;13ème arrdt;815
Reconnaissances;2019;19ème arrdt;725
Reconnaissances;2021;5ème arrdt;133
Reconnaissances;2021;8ème arrdt;102
Reconnaissances;2021;9ème arrdt;177
Reconnaissances;2021;11ème arrdt;624
Reconnaissances;2021;12ème arrdt;635
Reconnaissances;2021;16ème arrdt;227
Mariages;2005;1er arrdt;115
Mariages;2005;9ème arrdt;338
Mariages;2007;17ème arrdt;557
Mariages;2009;1er arrdt;99
Mariages;2012;9ème arrdt;238
Mariages;2014;15ème arrdt;1029
Mariages;2016;1er arrdt;116
Mariages;2016;4ème arrdt;143
Mariages;2018;14ème arrdt;562
Mariages;2019;7ème arrdt;278
Mariages;2021;3ème arrdt;425
Mariages;2023;2ème arrdt;0
Mariages;2023;4ème arrdt;0
Décès;2004;20ème arrdt;1318
Décès;2005;5ème arrdt;612
Décès;2007;18ème arrdt;1545
Décès;2009;7ème arrdt;192
Décès;2010;9ème arrdt;86
Décès;2011;8ème arrdt;108
Décès;2012;18ème arrdt;1385
Décès;2014;3ème arrdt;51
Décès;2014;16ème arrdt;954
Décès;2015;9ème arrdt;104
Décès;2017;7ème arrdt;178
Décès;2018;12ème arrdt;1562
Décès;2020;5ème arrdt;382
Décès;2021;13ème arrdt;2612
PACS;2019;2ème arrdt;129
PACS;2020;8ème arrdt;114
PACS;2020;9ème arrdt;278
PACS;2020;20ème arrdt;557
PACS;2021;13ème arrdt;554
PACS;2023;14ème arrdt;454
Changements de prénom;2017;1er arrdt;6
Changements de prénom;2018;7ème arrdt;11
Changements de prénom;2021;3ème arrdt;17
Changements de prénom;2022;2ème arrdt;12
Changements de prénom;2022;11ème arrdt;66
Changements de prénom;2023;15ème arrdt;106
Changements de nom (personne majeure);2023;9ème arrdt;40
Changements de nom (personne majeure);2023;18ème arrdt;182
Naissances;2006;4ème arrdt;5
Naissances;2007;2ème arrdt;3
Naissances;2008;8ème arrdt;2
Naissances;2008;14ème arrdt;9961
Naissances;2009;16ème arrdt;1395
Naissances;2010;11ème arrdt;1847
Naissances;2010;20ème arrdt;2471
Naissances;2011;17ème arrdt;1631
Naissances;2014;9ème arrdt;4
Naissances;2017;8ème arrdt;0
Naissances;2017;19ème arrdt;3035
Naissances;2019;3ème arrdt;1
Naissances;2019;13ème arrdt;2927
Naissances;2020;8ème arrdt;3
Naissances;2022;6ème arrdt;1
Naissances;2022;12ème arrdt;8823
Naissances;2023;6ème arrdt;2
Naissances;2023;15ème arrdt;6020
Reconnaissances;2005;13ème arrdt;1447
Reconnaissances;2007;14ème arrdt;710
Reconnaissances;2008;13ème arrdt;1003
Reconnaissances;2009;14ème arrdt;702
Reconnaissances;2010;16ème arrdt;293
Reconnaissances;2012;20ème arrdt;929
Reconnaissances;2014;17ème arrdt;586
Reconnaissances;2016;14ème arrdt;687
Reconnaissances;2017;3ème arrdt;124
Reconnaissances;2017;10ème arrdt;551
Reconnaissances;2017;11ème arrdt;613
Reconnaissances;2017;19ème arrdt;877
Reconnaissances;2019;9ème arrdt;210
Reconnaissances;2021;18ème arrdt;1063
Reconnaissances;2022;14ème arrdt;527
Reconnaissances;2023;13ème arrdt;585
Reconnaissances;2023;14ème arrdt;452
Mariages;2006;19ème arrdt;1003
Mariages;2007;5ème arrdt;279
Mariages;2008;6ème arrdt;219
Mariages;2009;4ème arrdt;128
Mariages;2010;3ème arrdt;174
Mariages;2010;20ème arrdt;699
Mariages;2011;2ème arrdt;107
Mariages;2012;19ème arrdt;933
Mariages;2014;4ème arrdt;146
Mariages;2015;13ème arrdt;680
Mariages;2016;19ème arrdt;861
Mariages;2017;6ème arrdt;189
Mariages;2017;11ème arrdt;636
Mariages;2018;6ème arrdt;175
Mariages;2018;15ème arrdt;1003
Mariages;2020;15ème arrdt;699
Mariages;2022;10ème arrdt;349
Mariages;2023;16ème arrdt;790
Décès;2004;12ème arrdt;1529
Décès;2004;16ème arrdt;711
Décès;2006;14ème arrdt;1831
Décès;2007;7ème arrdt;210
Décès;2007;16ème arrdt;906
Décès;2008;7ème arrdt;224
Décès;2008;9ème arrdt;85
Décès;2008;16ème arrdt;950
Décès;2009;12ème arrdt;1558
Décès;2011;4ème arrdt;279
Décès;2011;13ème arrdt;2184
Décès;2011;16ème arrdt;920
Décès;2011;20ème arrdt;1111
Décès;2012;20ème arrdt;1146
Décès;2019;5ème arrdt;364
Décès;2019;16ème arrdt;1017
Décès;2020;1er arrdt;39
Décès;2020;9ème arrdt;112
Décès;2021;3ème arrdt;64
Décès;2022;12ème arrdt;1649
Décès;2023;1er arrdt;42
Décès;2023;13ème arrdt;2179
Décès;2023;19ème arrdt;858
PACS;2021;2ème arrdt;144
PACS;2021;6ème arrdt;99
PACS;2021;10ème arrdt;528
Changements de prénom;2017;12ème arrdt;102
Changements de prénom;2017;18ème arrdt;56
Changements de prénom;2017;20ème arrdt;65
Changements de prénom;2018;4ème arrdt;6
Changements de prénom;2019;6ème arrdt;12
Changements de prénom;2019;17ème arrdt;38
Changements de prénom;2023;8ème arrdt;16
Changements de prénom;2023;9ème arrdt;10
Changements de prénom;2023;13ème arrdt;148
Changements de nom (personne majeure);2022;11ème arrdt;148
Naissances;2005;5ème arrdt;3
Naissances;2006;11ème arrdt;2769
Naissances;2007;6ème arrdt;1
Naissances;2008;18ème arrdt;2323
Naissances;2014;10ème arrdt;2679
Naissances;2016;7ème arrdt;0
Naissances;2016;14ème arrdt;11046
Naissances;2017;1er arrdt;1
Naissances;2017;18ème arrdt;2138
Naissances;2018;4ème arrdt;2
Naissances;2019;2ème arrdt;1
Naissances;2019;8ème arrdt;4
Naissances;2019;9ème arrdt;1
Naissances;2020;1er arrdt;1
Naissances;2020;12ème arrdt;8785
Naissances;2021;1er arrdt;0
Reconnaissances;2005;7ème arrdt;130
Reconnaissances;2005;20ème arrdt;1194
Reconnaissances;2006;8ème arrdt;124
Reconnaissances;2007;2ème arrdt;110
Reconnaissances;2007;10ème arrdt;685
Reconnaissances;2007;20ème arrdt;1052
Reconnaissances;2008;11ème arrdt;761
Reconnaissances;2010;18ème arrdt;1297
Reconnaissances;2011;1er arrdt;48
Reconnaissances;2011;14ème arrdt;712
Reconnaissances;2012;1er arrdt;62
Reconnaissances;2014;7ème arrdt;83
Reconnaissances;2015;4ème arrdt;97
Reconnaissances;2015;19ème arrdt;862
Reconnaissances;2018;13ème arrdt;920
Reconnaissances;2019;18ème arrdt;1107
Reconnaissances;2020;14ème arrdt;464
Reconnaissances;2022;2ème arrdt;1
Reconnaissances;2023;7ème arrdt;52
Reconnaissances;2023;19ème arrdt;356
Mariages;2005;6ème arrdt;238
Mariages;2005;19ème arrdt;1154
Mariages;2007;15ème arrdt;958
Mariages;2008;10ème arrdt;411
Mariages;2013;5ème arrdt;262
Mariages;2013;6ème arrdt;199
Mariages;2013;7ème arrdt;244
Mariages;2014;3ème arrdt;261
Mariages;2015;10ème arrdt;374
Mariages;2020;2ème arrdt;54
Mariages;2020;8ème arrdt;151
Mariages;2020;16ème arrdt;525
Mariages;2021;1er arrdt;0
Mariages;2021;8ème arrdt;198
Mariages;2021;12ème arrdt;415
Mariages;2021;17ème arrdt;422
Mariages;2023;5ème arrdt;292
Mariages;2023;7ème arrdt;278
Mariages;2023;10ème arrdt;373
Mariages;2023;12ème arrdt;557
Mariages;2023;15ème arrdt;972
Décès;2004;8ème arrdt;146
Décès;2005;2ème arrdt;46
Décès;2005;8ème arrdt;121
Décès;2005;15ème arrdt;2744
Décès;2006;12ème arrdt;1511
Décès;2006;20ème arrdt;1302
Décès;2010;17ème arrdt;390
Décès;2012;2ème arrdt;26
Décès;2012;11ème arrdt;273
Décès;2014;1er arrdt;26
Décès;2014;2ème arrdt;18
Décès;2015;3ème arrdt;54
Décès;2017;15ème arrdt;3710
Décès;2018;5ème arrdt;382
Décès;2019;13ème arrdt;2269
Décès;2021;12ème arrdt;1644
Décès;2022;3ème arrdt;44
Décès;2022;19ème arrdt;908
PACS;2018;5ème arrdt;232
PACS;2019;8ème arrdt;104
PACS;2020;3ème arrdt;110
PACS;2021;15ème arrdt;947
PACS;2022;3ème arrdt;157
PACS;2022;20ème arrdt;653
PACS;2023;1er arrdt;66
PACS;2023;17ème arrdt;589
Changements de prénom;2017;5ème arrdt;26
Changements de prénom;2018;1er arrdt;8
Changements de prénom;2019;12ème arrdt;93
Changements de prénom;2021;11ème arrdt;55
Changements de nom (personne majeure);2022;2ème arrdt;29
Changements de nom (personne majeure);2022;6ème arrdt;42
Changements de nom (personne majeure);2022;14ème arrdt;204
Changements de nom (personne majeure);2022;19ème arrdt;134
Changements de nom (personne majeure);2023;3ème arrdt;28
Changements de nom (personne majeure);2023;20ème arrdt;158
Naissances;2004;4ème arrdt;5
Naissances;2004;18ème arrdt;2434
Naissances;2005;8ème arrdt;0
Naissances;2005;13ème arrdt;3601
Naissances;2008;7ème arrdt;5
Naissances;2008;16ème arrdt;1179
Naissances;2009;2ème arrdt;1
Naissances;2009;8ème arrdt;1
Naissances;2010;16ème arrdt;1602
Naissances;2011;7ème arrdt;1
Naissances;2013;5ème arrdt;1
Naissances;2014;12ème arrdt;9432
Naissances;2015;1er arrdt;0
Naissances;2015;8ème arrdt;4
Naissances;2016;4ème arrdt;1
Naissances;2018;19ème arrdt;3125
Naissances;2020;2ème arrdt;0
Naissances;2020;13ème arrdt;2874
Naissances;2023;2ème arrdt;0
Naissances;2023;7ème arrdt;3
Reconnaissances;2004;12ème arrdt;1980
Reconnaissances;2004;18ème arrdt;1991
Reconnaissances;2005;8ème arrdt;139
Reconnaissances;2005;10ème arrdt;913
Reconnaissances;2007;5ème arrdt;150
Reconnaissances;2010;12ème arrdt;845
Reconnaissances;2011;12ème arrdt;740
Reconnaissances;2012;14ème arrdt;724
Reconnaissances;2013;9ème arrdt;211
Reconnaissances;2014;4ème arrdt;96
Reconnaissances;2015;16ème arrdt;267
Reconnaissances;2016;2ème arrdt;109
Reconnaissances;2018;5ème arrdt;129
Reconnaissances;2019;1er arrdt;47
Reconnaissances;2020;13ème arrdt;760
Reconnaissances;2021;3ème arrdt;266
Reconnaissances;2022;1er arrdt;0
Reconnaissances;2022;9ème arrdt;151
Mariages;2005;16ème arrdt;803
Mariages;2006;2ème arrdt;119
Mariages;2009;11ème arrdt;619
Mariages;2010;14ème arrdt;588
Mariages;2010;17ème arrdt;563
Mariages;2011;19ème arrdt;916
Mariages;2012;8ème arrdt;196
Mariages;2013;2ème arrdt;127
Mariages;2013;4ème arrdt;158
Mariages;2013;9ème arrdt;303
Mariages;2014;6ème arrdt;201
Mariages;2014;8ème arrdt;221
Mariages;2014;19ème arrdt;868
Mariages;2015;5ème arrdt;291
Mariages;2015;6ème arrdt;216
Mariages;2015;16ème arrdt;796
Mariages;2016;16ème arrdt;749
Mariages;2018;1er arrdt;104
Mariages;2018;7ème arrdt;287
Mariages;2018;8ème arrdt;199
Mariages;2018;20ème arrdt;586
Mariages;2019;11ème arrdt;594
Mariages;2019;19ème arrdt;847
Mariages;2020;4ème arrdt;58
Mariages;2021;6ème arrdt;181
Mariages;2023;19ème arrdt;711
Décès;2004;7ème arrdt;231
Décès;2005;18ème arrdt;1428
Décès;2006;10ème arrdt;1433
Décès;2009;2ème arrdt;42
Décès;2009;18ème arrdt;1411
Décès;2010;10ème arrdt;1344
Décès;2014;6ème arrdt;106
Décès;2015;8ème arrdt;104
Décès;2016;16ème arrdt;1022
Décès;2018;10ème arrdt;1351
Décès;2023;20ème arrdt;1283
PACS;2017;5ème arrdt;75
PACS;2018;16ème arrdt;296
PACS;2018;18ème arrdt;964
PACS;2020;7ème arrdt;148
PACS;2020;15ème arrdt;782
PACS;2020;19ème arrdt;508
Changements de prénom;2018;15ème arrdt;103
Changements de prénom;2019;10ème arrdt;44
Changements de prénom;2019;11ème arrdt;41
Changements de prénom;2021;10ème arrdt;60
Changements de prénom;2021;13ème arrdt;81
Changements de prénom;2022;6ème arrdt;17
Changements de prénom;2022;13ème arrdt;99
Changements de nom (personne majeure);2022;3ème arrdt;38
Changements de nom (personne majeure);2022;7ème arrdt;37
Changements de nom (personne majeure);2023;12ème arrdt;155
Naissances;2004;6ème arrdt;2
Naissances;2005;15ème arrdt;4563
Naissances;2006;1er arrdt;1
Naissances;2008;3ème arrdt;2
Naissances;2010;14ème arrdt;10235
Naissances;2010;18ème arrdt;2220
Naissances;2011;1er arrdt;1
Naissances;2011;15ème arrdt;5713
Naissances;2012;8ème arrdt;1
Naissances;2013;13ème arrdt;3593
Naissances;2014;18ème arrdt;2196
Naissances;2015;10ème arrdt;2564
Naissances;2016;1er arrdt;1
Naissances;2016;3ème arrdt;2
Naissances;2017;6ème arrdt;1
Naissances;2017;16ème arrdt;1074
Naissances;2018;17ème arrdt;1060
Naissances;2019;4ème arrdt;2
Naissances;2019;7ème arrdt;2
Naissances;2019;14ème arrdt;10981
Naissances;2020;19ème arrdt;3080
Naissances;2021;4ème arrdt;4
Naissances;2022;3ème arrdt;2
Naissances;2022;20ème arrdt;2379
Naissances;2023;17ème arrdt;1012
Reconnaissances;2004;15ème arrdt;1080
Reconnaissances;2008;3ème arrdt;141
Reconnaissances;2008;9ème arrdt;254
Reconnaissances;2009;7ème arrdt;100
Reconnaissances;2009;18ème arrdt;1247
Reconnaissances;2010;2ème arrdt;93
Reconnaissances;2010;19ème arrdt;1040
Reconnaissances;2013;4ème arrdt;98
Reconnaissances;2013;18ème arrdt;1325
Reconnaissances;2014;2ème arrdt;109
Reconnaissances;2014;6ème arrdt;86
Reconnaissances;2014;11ème arrdt;659
Reconnaissances;2014;16ème arrdt;273
Reconnaissances;2016;9ème arrdt;246
Reconnaissances;2018;1er arrdt;44
Reconnaissances;2020;7ème arrdt;75
Reconnaissances;2020;8ème arrdt;78
Reconnaissances;2020;15ème arrdt;669
Reconnaissances;2020;20ème arrdt;548
Mariages;2004;6ème arrdt;235
Mariages;2007;11ème arrdt;736
Mariages;2008;12ème arrdt;542
Mariages;2009;6ème arrdt;197
Mariages;2009;17ème arrdt;564
Mariages;2011;8ème arrdt;207
Mariages;2013;13ème arrdt;703
Mariages;2014;16ème arrdt;796
Mariages;2014;18ème arrdt;804
Mariages;2015;15ème arrdt;914
Mariages;2017;5ème arrdt;251
Mariages;2017;12ème arrdt;531
Mariages;2017;18ème arrdt;700
Mariages;2018;3ème arrdt;233
Mariages;2019;2ème arrdt;102
Mariages;2019;5ème arrdt;287
Mariages;2019;12ème arrdt;488
Mariages;2019;18ème arrdt;662
Mariages;2020;5ème arrdt;215
Mariages;2021;5ème arrdt;252
Mariages;2021;19ème arrdt;843
Mariages;2022;19ème arrdt;816
Décès;2004;1er arrdt;35
Décès;2005;16ème arrdt;777
Décès;2006;8ème arrdt;128
Décès;2010;8ème arrdt;100
Décès;2010;11ème arrdt;288
Décès;2013;3ème arrdt;49
Décès;2013;5ème arrdt;712
Décès;2013;16ème arrdt;1007
Décès;2015;11ème arrdt;347
Décès;2016;4ème arrdt;42
Décès;2017;3ème arrdt;41
Décès;2020;7ème arrdt;189
Décès;2020;10ème arrdt;1463
PACS;2017;10ème arrdt;165
PACS;2018;1er arrdt;81
PACS;2018;13ème arrdt;730
PACS;2019;15ème arrdt;941
PACS;2019;17ème arrdt;687
PACS;2020;4ème arrdt;86
PACS;2020;5ème arrdt;188
PACS;2021;14ème arrdt;689
PACS;2022;11ème arrdt;803
PACS;2022;18ème arrdt;819
PACS;2023;5ème arrdt;197
Changements de prénom;2017;4ème arrdt;23
Changements de prénom;2017;13ème arrdt;103
Changements de prénom;2017;19ème arrdt;99
Changements de prénom;2018;10ème arrdt;47
Changements de prénom;2018;20ème arrdt;70
Changements de prénom;2019;2ème arrdt;5
Changements de prénom;2020;18ème arrdt;54
Changements de prénom;2020;19ème arrdt;79
Changements de prénom;2022;9ème arrdt;17
Changements de nom (personne majeure);2023;19ème arrdt;124
Naissances;2004;17ème arrdt;2226
Naissances;2005;4ème arrdt;0
Naissances;2005;12ème arrdt;7762
Naissances;2006;8ème arrdt;3
Naissances;2006;14ème arrdt;10429
Naissances;2007;7ème arrdt;1
Naissances;2007;19ème arrdt;2928
Naissances;2009;5ème arrdt;2
Naissances;2009;14ème arrdt;10206
Naissances;2010;6ème arrdt;1
Naissances;2011;18ème arrdt;2291
Naissances;2012;7ème arrdt;1
Naissances;2012;17ème arrdt;1596
Naissances;2014;3ème arrdt;0
Naissances;2016;12ème arrdt;9700
Naissances;2016;17ème arrdt;1376
Naissances;2017;4ème arrdt;0
Naissances;2017;14ème arrdt;10874
Naissances;2020;6ème arrdt;0
Naissances;2020;7ème arrdt;1
Naissances;2021;20ème arrdt;2347
Naissances;2022;1er arrdt;1
Reconnaissances;2004;14ème arrdt;1157
Reconnaissances;2005;17ème arrdt;866
Reconnaissances;2006;12ème arrdt;1474
Reconnaissances;2006;14ème arrdt;933
Reconnaissances;2006;17ème arrdt;763
Reconnaissances;2007;4ème arrdt;100
Reconnaissances;2007;11ème arrdt;783
Reconnaissances;2009;19ème arrdt;1185
Reconnaissances;2011;20ème arrdt;1055
Reconnaissances;2012;2ème arrdt;106
Reconnaissances;2013;10ème arrdt;507
Reconnaissances;2015;1er arrdt;70
Reconnaissances;2015;6ème arrdt;103
Reconnaissances;2015;8ème arrdt;123
Reconnaissances;2015;20ème arrdt;849
Reconnaissances;2016;4ème arrdt;90
Reconnaissances;2016;15ème arrdt;818
Reconnaissances;2017;20ème arrdt;814
Reconnaissances;2020;17ème arrdt;467
Reconnaissances;2022;7ème arrdt;82
Reconnaissances;2022;10ème arrdt;604
Reconnaissances;2023;10ème arrdt;552
Mariages;2004;7ème arrdt;308
Mariages;2004;11ème arrdt;747
Mariages;2006;14ème arrdt;579
Mariages;2006;20ème arrdt;879
Mariages;2007;1er arrdt;105
Mariages;2007;2ème arrdt;141
Mariages;2007;16ème arrdt;777
Mariages;2009;3ème arrdt;195
Mariages;2009;14ème arrdt;585
Mariages;2011;3ème arrdt;175
Mariages;2011;4ème arrdt;120
Mariages;2011;15ème arrdt;887
Mariages;2012;1er arrdt;97
Mariages;2012;12ème arrdt;538
Mariages;2013;11ème arrdt;708
Mariages;2014;14ème arrdt;561
Mariages;2015;8ème arrdt;201
Mariages;2015;19ème arrdt;789
Mariages;2018;19ème arrdt;842
Mariages;2021;11ème arrdt;583
Mariages;2022;18ème arrdt;653
Décès;2004;10ème arrdt;1283
Décès;2004;11ème arrdt;368
Décès;2005;19ème arrdt;463
Décès;2006;6ème arrdt;128
Décès;2011;10ème arrdt;1372
Décès;2013;15ème arrdt;3316
Décès;2015;5ème arrdt;469
Décès;2017;1er arrdt;43
Décès;2018;20ème arrdt;1098
Décès;2020;8ème arrdt;105
Décès;2020;15ème arrdt;3613
Décès;2020;17ème arrdt;434
Décès;2021;14ème arrdt;2375
Décès;2022;18ème arrdt;1663
PACS;2017;3ème arrdt;46
PACS;2019;5ème arrdt;246
PACS;2021;3ème arrdt;193
PACS;2023;3ème arrdt;124
Changements de prénom;2020;6ème arrdt;9
Changements de prénom;2020;8ème arrdt;6
Changements de prénom;2020;12ème arrdt;87
Changements de prénom;2020;13ème arrdt;63
Changements de prénom;2023;10ème arrdt;61
Changements de prénom;2023;20ème arrdt;113
Changements de nom (personne majeure);2022;5ème arrdt;61
Changements de nom (personne majeure);2022;8ème arrdt;31
Changements de nom (personne majeure);2023;7ème arrdt;32
Changements de nom (personne majeure);2023;8ème arrdt;31
Naissances;2005;2ème arrdt;1
Naissances;2005;10ème arrdt;2123
Naissances;2005;19ème arrdt;2711
Naissances;2008;9ème arrdt;5
Naissances;2010;4ème arrdt;1
Naissances;2010;5ème arrdt;3
Naissances;2010;7ème arrdt;4
Naissances;2012;16ème arrdt;1439
Naissances;2013;1er arrdt;0
Naissances;2013;4ème arrdt;1
Naissances;2014;14ème arrdt;10673
Naissances;2015;16ème arrdt;1328
Naissances;2016;8ème arrdt;2
Naissances;2018;3ème arrdt;1
Naissances;2019;15ème arrdt;6463
Naissances;2020;3ème arrdt;2
Naissances;2021;16ème arrdt;1278
Naissances;2023;13ème arrdt;2257
Reconnaissances;2004;5ème arrdt;180
Reconnaissances;2004;13ème arrdt;1319
Reconnaissances;2008;4ème arrdt;113
Reconnaissances;2009;1er arrdt;66
Naissances;2004;13ème arrdt;3447
Reconnaissances;2010;17ème arrdt;645
Naissances;2004;20ème arrdt;2159
Reconnaissances;2011;15ème arrdt;874
Naissances;2005;3ème arrdt;3
Reconnaissances;2012;6ème arrdt;66
Naissances;2005;18ème arrdt;2370
Reconnaissances;2012;16ème arrdt;295
Naissances;2006;2ème arrdt;0
Reconnaissances;2012;17ème arrdt;558
Naissances;2006;12ème arrdt;8350
Reconnaissances;2013;11ème arrdt;679
Naissances;2009;4ème arrdt;2
Reconnaissances;2014;14ème arrdt;775
Naissances;2009;13ème arrdt;3388
Reconnaissances;2015;2ème arrdt;99
Naissances;2012;3ème arrdt;2
Reconnaissances;2016;19ème arrdt;959
Naissances;2012;11ème arrdt;705
Reconnaissances;2017;7ème arrdt;86
Naissances;2012;18ème arrdt;2160
Reconnaissances;2017;15ème arrdt;811
Naissances;2014;5ème arrdt;1
Reconnaissances;2018;6ème arrdt;102
Naissances;2015;2ème arrdt;1
Reconnaissances;2018;17ème arrdt;513
Naissances;2015;19ème arrdt;2988
Reconnaissances;2021;13ème arrdt;822
Naissances;2017;9ème arrdt;2
Reconnaissances;2022;15ème arrdt;615
Naissances;2017;20ème arrdt;2615
Mariages;2004;8ème arrdt;240
Naissances;2018;20ème arrdt;2529
Mariages;2004;14ème arrdt;661
Naissances;2020;4ème arrdt;0
Mariages;2005;10ème arrdt;609
Naissances;2021;15ème arrdt;6600
Mariages;2008;20ème arrdt;756
Naissances;2023;1er arrdt;1
Mariages;2010;10ème arrdt;423
Naissances;2023;4ème arrdt;2
Mariages;2011;11ème arrdt;605
Naissances;2023;14ème arrdt;9689
Mariages;2016;8ème arrdt;195
Reconnaissances;2006;5ème arrdt;158
Mariages;2017;13ème arrdt;646
Reconnaissances;2006;7ème arrdt;119
Mariages;2017;15ème arrdt;936
Reconnaissances;2006;11ème arrdt;1207
Mariages;2018;4ème arrdt;130
Reconnaissances;2008;8ème arrdt;108
Mariages;2019;6ème arrdt;175
Reconnaissances;2011;10ème arrdt;549
Mariages;2020;13ème arrdt;484
Reconnaissances;2017;12ème arrdt;718
Mariages;2023;3ème arrdt;490
Reconnaissances;2019;8ème arrdt;119
Décès;2004;9ème arrdt;99
Reconnaissances;2019;17ème arrdt;492
Décès;2006;1er arrdt;39
Reconnaissances;2020;3ème arrdt;157
Décès;2006;15ème arrdt;3060
Reconnaissances;2021;14ème arrdt;577
Décès;2007;4ème arrdt;333
Mariages;2004;4ème arrdt;152
Décès;2008;3ème arrdt;55
Mariages;2004;16ème arrdt;888
Décès;2010;13ème arrdt;2059
Mariages;2005;18ème arrdt;1095
Décès;2012;16ème arrdt;948
Mariages;2006;6ème arrdt;202
Décès;2013;1er arrdt;37
Mariages;2006;15ème arrdt;991
Décès;2013;4ème arrdt;129
Mariages;2007;7ème arrdt;299
Décès;2013;9ème arrdt;79
Mariages;2007;8ème arrdt;192
Décès;2015;18ème arrdt;1491
Mariages;2009;15ème arrdt;947
Décès;2016;2ème arrdt;20
Mariages;2011;18ème arrdt;730
Décès;2016;5ème arrdt;370
Mariages;2012;3ème arrdt;201
Décès;2016;18ème arrdt;1668
Mariages;2012;11ème arrdt;661
Décès;2017;19ème arrdt;1055
Mariages;2013;1er arrdt;102
Décès;2017;20ème arrdt;1142
Mariages;2014;12ème arrdt;625
Décès;2019;20ème arrdt;1076
Mariages;2016;17ème arrdt;512
Décès;2020;4ème arrdt;48
Mariages;2016;20ème arrdt;698
Décès;2022;8ème arrdt;89
Mariages;2017;2ème arrdt;124
Décès;2022;16ème arrdt;976
Mariages;2017;8ème arrdt;217
Décès;2023;3ème arrdt;52
Mariages;2017;16ème arrdt;807
PACS;2020;1er arrdt;38
Mariages;2020;12ème arrdt;336
PACS;2020;12ème arrdt;452
Décès;2004;18ème arrdt;1497
PACS;2020;13ème arrdt;523
Décès;2005;4ème arrdt;374
PACS;2020;14ème arrdt;344
Décès;2005;7ème arrdt;211
PACS;2022;1er arrdt;77
Décès;2005;12ème arrdt;1549
PACS;2022;17ème arrdt;639
Décès;2006;11ème arrdt;293
PACS;2023;20ème arrdt;555
Décès;2007;6ème arrdt;120
Changements de prénom;2017;9ème arrdt;13
Décès;2008;1er arrdt;39
Changements de prénom;2017;10ème arrdt;56
Décès;2011;9ème arrdt;95
Changements de prénom;2018;2ème arrdt;8
Décès;2012;7ème arrdt;186
Changements de prénom;2018;3ème arrdt;13
Décès;2012;12ème arrdt;1583
Changements de prénom;2018;6ème arrdt;13
Décès;2012;14ème arrdt;2015
Changements de prénom;2019;15ème arrdt;97
Décès;2012;17ème arrdt;358
Changements de prénom;2019;16ème arrdt;34
Décès;2013;11ème arrdt;233
Changements de prénom;2020;14ème arrdt;44
Décès;2014;11ème arrdt;223
Changements de prénom;2021;7ème arrdt;6
Décès;2014;20ème arrdt;1114
Changements de prénom;2021;8ème arrdt;15
Décès;2015;16ème arrdt;1006
Changements de nom (personne majeure);2023;17ème arrdt;99
Décès;2016;6ème arrdt;95
Décès;2016;19ème arrdt;1089
Décès;2017;5ème arrdt;328
Décès;2017;13ème arrdt;2281
Décès;2018;15ème arrdt;3565
Décès;2019;10ème arrdt;1333
Décès;2019;12ème arrdt;1716
